group,n,sft_mIoU,sft_IoU@0.5,grpo_only_mIoU,grpo_only_IoU@0.5,mrpd_metric_mIoU,mrpd_metric_IoU@0.5,mrpd_ema098_mIoU,mrpd_ema098_IoU@0.5,grpo_only_minus_sft,mrpd_metric_minus_sft,mrpd_ema098_minus_sft,sft_minus_grpo,mrpd_metric_minus_grpo,mrpd_ema098_minus_grpo
vehicle,558,0.537995755657594,0.6666666666666666,0.5564183500635876,0.6935483870967742,0.5576709705166248,0.6792114695340502,0.5650203639025331,0.6935483870967742,0.018422594405993586,0.019675214859030787,0.02702460824493902,-0.018422594405993586,0.001252620453037201,0.008602013838945433
bridge,269,0.4439824970728696,0.48698884758364314,0.45470597421558856,0.5130111524163569,0.4687111943071732,0.5278810408921933,0.46643038272012194,0.5278810408921933,0.010723477142718985,0.024728697234303598,0.022447885647252364,-0.010723477142718985,0.014005220091584614,0.011724408504533379
windmill,260,0.6588007913474972,0.8115384615384615,0.6847960665028388,0.8538461538461538,0.684141044654031,0.8538461538461538,0.6881210214495573,0.8576923076923076,0.025995275155341502,0.025340253306533778,0.029320230102060085,-0.025995275155341502,-0.0006550218488077242,0.0033249549467185835
groundtrackfield,254,0.7772979476386592,0.8543307086614174,0.7926078289158878,0.8740157480314961,0.7932458329487871,0.8622047244094488,0.7936262568017638,0.8622047244094488,0.015309881277228543,0.01594788531012792,0.01632830916310457,-0.015309881277228543,0.0006380040328993752,0.0010184278858760276
baseballfield,228,0.8457669121623617,0.9122807017543859,0.8573884223410305,0.9254385964912281,0.8507625267708733,0.9166666666666666,0.8558194307993336,0.9210526315789473,0.011621510178668859,0.0049956146085116115,0.010052518636971985,-0.011621510178668859,-0.0066258955701572475,-0.0015689915416968736
overpass,226,0.5783983422213816,0.6460176991150443,0.5902628587864354,0.672566371681416,0.6019272338593773,0.6637168141592921,0.6053816080805093,0.672566371681416,0.011864516565053718,0.023528891637995653,0.026983265859127692,-0.011864516565053718,0.011664375072941935,0.015118749294073974
airport,196,0.8113521906634272,0.9030612244897959,0.8106814159266483,0.8928571428571429,0.8155015932985183,0.9030612244897959,0.8167624496115045,0.9132653061224489,-0.0006707747367789008,0.004149402635091115,0.005410258948077229,0.0006707747367789008,0.004820177371870016,0.00608103368485613
ship,182,0.7460797762452084,0.8241758241758241,0.7610926309791979,0.8406593406593407,0.7542349342458775,0.8406593406593407,0.766442711387807,0.8461538461538461,0.0150128547339895,0.008155158000669127,0.02036293514259857,-0.0150128547339895,-0.006857696733320373,0.00535008040860907
dam,175,0.6825523812306984,0.7714285714285715,0.7016068605852058,0.8114285714285714,0.7208724190807032,0.8342857142857143,0.7151903714611137,0.8171428571428572,0.019054479354507436,0.03832003785000482,0.03263799023041536,-0.019054479354507436,0.01926555849549738,0.013583510875907923
trainstation,128,0.6034643337413694,0.6875,0.6582025672457711,0.78125,0.6515464413611024,0.78125,0.6283645508634266,0.71875,0.05473823350440166,0.04808210761973297,0.024900217122057144,-0.05473823350440166,-0.006656125884668684,-0.029838016382344512
Expressway-Service-area,123,0.7366882686058297,0.8130081300813008,0.7434034958057794,0.8211382113821138,0.7497536195073058,0.8292682926829268,0.7534495776836914,0.8211382113821138,0.006715227199949658,0.013065350901476092,0.016761309077861664,-0.006715227199949658,0.006350123701526433,0.010046081877912005
basketballcourt,121,0.7222982457655442,0.7768595041322314,0.7228375681929854,0.7768595041322314,0.7175053009165522,0.7768595041322314,0.72455552510784,0.7768595041322314,0.0005393224274411468,-0.0047929448489920645,0.0022572793422958037,-0.0005393224274411468,-0.005332267276433211,0.001717956914854657
Expressway-toll-station,114,0.6705387742134364,0.7631578947368421,0.6702502445074757,0.7631578947368421,0.6848885960003611,0.7543859649122807,0.6852610722775639,0.7807017543859649,-0.00028852970596071614,0.014349821786924677,0.014722298064127504,0.00028852970596071614,0.014638351492885393,0.01501082777008822
golffield,112,0.8209108733835989,0.9196428571428571,0.8368122402601744,0.9375,0.8251860555621635,0.9196428571428571,0.8305513070898956,0.9285714285714286,0.015901366876575507,0.004275182178564596,0.009640433706296636,-0.015901366876575507,-0.01162618469801091,-0.006260933170278871
storagetank,110,0.7981378110753591,0.8727272727272727,0.7873820965484049,0.8545454545454545,0.7938108971520382,0.8636363636363636,0.7917095742425178,0.8636363636363636,-0.01075571452695423,-0.004326913923320852,-0.0064282368328413275,0.01075571452695423,0.006428800603633378,0.004327477694112902
chimney,107,0.7836817535819598,0.8785046728971962,0.8289974727836644,0.9252336448598131,0.8143372403779839,0.9065420560747663,0.8113473918382228,0.9065420560747663,0.04531571920170463,0.030655486796024145,0.027665638256263003,-0.04531571920170463,-0.014660232405680484,-0.017650080945441626
tenniscourt,104,0.7652857504909962,0.8076923076923077,0.7715927584713966,0.8269230769230769,0.7821886158201815,0.8365384615384616,0.7566708315420647,0.8173076923076923,0.006307007980400403,0.01690286532918528,-0.008614918948931516,-0.006307007980400403,0.010595857348784876,-0.014921926929331919
airplane,99,0.8333981728119693,0.9393939393939394,0.837436782418662,0.9292929292929293,0.8441856196595764,0.9393939393939394,0.8402831515479254,0.9393939393939394,0.004038609606692778,0.01078744684760713,0.006884978735956171,-0.004038609606692778,0.0067488372409143516,0.002846369129263393
stadium,88,0.8432541907477445,0.9431818181818182,0.8746530269400311,0.9659090909090909,0.8733490392781342,0.9659090909090909,0.8713962336149869,0.9545454545454546,0.03139883619228656,0.030094848530389684,0.028142042867242312,-0.03139883619228656,-0.001303987661896877,-0.0032567933250442493
