method,n,mIoU,IoU@0.5,IoU@0.6,IoU@0.7,IoU@0.8,IoU@0.9
sft,3481.0,0.680922758157398,0.7701809824763,0.7158862395863258,0.6400459638035048,0.5268600976730824,0.34243033611031315
opsd_only,3481.0,0.6833014272693291,0.7710428037920138,0.7167480609020397,0.6437805228382648,0.5340419419706981,0.3398448721631715
grpo_only,3481.0,0.6962460488312299,0.7923010629129561,0.7368572249353634,0.6618787704682563,0.5489801781097385,0.36110313128411375
mrpd_metric,3481.0,0.6989948729361265,0.7911519678253376,0.7368572249353634,0.6667624245906348,0.5538638322321172,0.3579431197931629
mrpd_ema098,3481.0,0.7000214658769827,0.7925883366848606,0.7391554151106005,0.663602413099684,0.5535765584602126,0.3588049411088768
mrpd_no_refresh,3481.0,0.6980530610292215,0.7894283251939098,0.7351335823039357,0.6673369721344441,0.5538638322321172,0.3634013214593508
mrpd_step80,3481.0,0.6987257230163535,0.790864694053433,0.7388681413386958,0.6615914966963516,0.5567365699511635,0.35621947716173513
mrpd_zoom,3481.0,0.6978899856956108,0.7885665038781959,0.7374317724791727,0.6627405917839702,0.5481183567940247,0.34875035909221486
mrpd_jitter,3481.0,0.6973431014026308,0.7920137891410515,0.7331226659006033,0.6610169491525424,0.5498419994254524,0.352484918126975
mrpd_soft_window,3481.0,0.6952127277245465,0.7862683137029589,0.7296753806377477,0.6578569376615915,0.5504165469692617,0.35420856075840274
mrpd_no_hint,3481.0,0.6918483566764548,0.779373743177248,0.730249928181557,0.6578569376615915,0.5432347026716461,0.3576558460212583
